"user_id","status_id","created_at","screen_name","text","pic1","pic2","pic3","pic4"
"839942645883551744","1295436379132960769","2020-08-17 19:04:35","_TanHo","STILL IN SHOCK THAT THIS IS HAPPENINGGGGG #rstats #nflfastr WOOOOOOOOOOOOOOO https://t.co/YbDn6nDSJt",NA,NA,NA,NA
"1241814552","1294620533087248384","2020-08-15 13:02:42","thomas_mock","This past week's #nflscrapR/#nflfastR counts, posted through #rstats courtesy of #rtweet!

#nflscrapR details: https://t.co/6GgnDEJNi0
#nflfastR details: https://t.co/9zG7HjMyK2 https://t.co/mSLbyQ9wPR","https://twitter.com/thomas_mock/status/1294620533087248384/photo/1",NA,NA,NA
"1253008519919546370","1293171561848016896","2020-08-11 13:05:00","nflfastR","Calibration results: https://t.co/lD6rnuY5ju

At some point I (Ben) will write up a description of how the xyac model was built, but not there yet. Stay tuned...",NA,NA,NA,NA
"1253008519919546370","1293171156426600448","2020-08-11 13:03:24","nflfastR","Package has been updated with the new xyac stuff:

--&gt; Example of using the new columns: https://t.co/QQEUfPQA9k
--&gt; Documentation: https://t.co/MncRtt4W3S",NA,NA,NA,NA
"1253008519919546370","1292896480529977346","2020-08-10 18:51:56","nflfastR","Code example for getting a ""YAC EPA over expected"" that doesn't include receiver fumbles and is thus closer to mean-0 as expected https://t.co/sEg4S6Bpr2","https://twitter.com/nflfastR/status/1292896480529977346/photo/1","https://twitter.com/nflfastR/status/1292896480529977346/photo/1",NA,NA
"1070035793312387072","1292838166181937152","2020-08-10 15:00:13","nflscrapR","I would have gone with ""@war_on_ice : Ragnarok"", personally. https://t.co/27RPRIW203",NA,NA,NA,NA
"1070035793312387072","1292838133780877312","2020-08-10 15:00:05","nflscrapR","For the late night crowd, the highly anticipated Episode III: 'Revenge of @war_on_ice' - uh I mean 'Models for hockey player ratings with Andrew Thomas (@acthomasca)  and Sam Ventura (@stat_sam) ' is now available! This was a blast to record, enjoy! https://t.co/Y4PcaC8djK",NA,NA,NA,NA
"1070035793312387072","1292838121470664706","2020-08-10 15:00:02","nflscrapR","Fantastic discussion w/ research history and modeling insight from the legends behind @war_on_ice   #statsinsports #fancystats #sportsanalytics #NHL #HockeyTwitter - &amp; @kpelechrinis is excellent at breaking down technical components of the paper, dive in! https://t.co/AR69ftsD5m https://t.co/69PsRpeHXa https://t.co/iEvRULKKn8",NA,NA,NA,NA
"1253008519919546370","1292227601159905287","2020-08-08 22:34:03","nflfastR","@matt_klinehart Yes",NA,NA,NA,NA
"1253008519919546370","1292177732978319361","2020-08-08 19:15:53","nflfastR","Some other notes on the new columns and a practical way of using them. This will all be in the Examples section once the package updates 3/ https://t.co/l80l3pZOeu","https://twitter.com/nflfastR/status/1292177732978319361/photo/1",NA,NA,NA
"1253008519919546370","1292177494850916352","2020-08-08 19:14:56","nflfastR","The package hasn't been updated yet, but here is the documentation for these columns 2/ https://t.co/ACGYDqfqfM","https://twitter.com/nflfastR/status/1292177494850916352/photo/1",NA,NA,NA
"1253008519919546370","1292177277346877446","2020-08-08 19:14:05","nflfastR","The data repository has been updated with 5 new columns obtained from the new YAC model (available 2006-2019) 1/

https://t.co/s6Gykgdgs4",NA,NA,NA,NA
"1241814552","1292083709240385536","2020-08-08 13:02:16","thomas_mock","This past week's #nflscrapR/#nflfastR counts, posted through #rstats courtesy of #rtweet!

#nflscrapR details: https://t.co/6GgnDEJNi0
#nflfastR details: https://t.co/9zG7HjMyK2 https://t.co/LUNq4GXnIy","https://twitter.com/thomas_mock/status/1292083709240385536/photo/1",NA,NA,NA
"1070035793312387072","1291606342696935424","2020-08-07 05:25:23","nflscrapR","https://t.co/H2EMZZkRNV","https://twitter.com/nflscrapR/status/1291606342696935424/photo/1",NA,NA,NA
"1253008519919546370","1289731918544515072","2020-08-02 01:17:06","nflfastR","@mnpykings Our OT model is kind of bad because it doesn't account for ties. This is Ben's fault",NA,NA,NA,NA
"1241814552","1289546892783779841","2020-08-01 13:01:52","thomas_mock","This past week's #nflscrapR/#nflfastR counts, posted through #rstats courtesy of #rtweet!

#nflscrapR details: https://t.co/6GgnDEJNi0
#nflfastR details: https://t.co/9zG7HjMyK2 https://t.co/8jjUREjFva","https://twitter.com/thomas_mock/status/1289546892783779841/photo/1",NA,NA,NA
"1253008519919546370","1289276534931378176","2020-07-31 19:07:34","nflfastR","EP by yardline and down using @nflfastR model https://t.co/MuTWfCLeiu","https://twitter.com/benbbaldwin/status/1289276157238575104/photo/1",NA,NA,NA
"465857634","1288624555049857027","2020-07-29 23:56:50","mikeyirene","With the hire of Mike McCarthy, look for the Cowboys to throw the ball more in the red zone. Under McCarthy in 2018, GB had the 3rd highest pass rate in red zone situations.

Side note: @AdamGaseHC loves to throw in the red zone. @CowboysStats #DallasCowboys #nflfastR https://t.co/Zybf0LDAhg","https://twitter.com/mikeyirene/status/1288624555049857027/photo/1","https://twitter.com/mikeyirene/status/1288624555049857027/photo/1",NA,NA
"1070035793312387072","1288540904882614272","2020-07-29 18:24:26","nflscrapR","Excited to be highlighted among so many talented names in this field! Congrats to everyone (check them all out in the link below!), a big thanks to the talented @Stat_Ron @PFF_Eric @PFF_Moo for unknowingly inspiring my project, and good luck to all of the finalists tonight!! https://t.co/0obUfx0w1a https://t.co/IbwEpBEoYr",NA,NA,NA,NA
"1070035793312387072","1288527385399382016","2020-07-29 17:30:43","nflscrapR","We'll be holding the Finals of our Football Analytics Challenge tomorrow on You Tube

We received many well-researched entries. You can take a look at highlights of those in this piece.

https://t.co/tCKmaC94Hy",NA,NA,NA,NA
"1070035793312387072","1288527373806317568","2020-07-29 17:30:40","nflscrapR","I'm fine with this. 😁

Good luck to all finalists tomorrow; I will be watching and learning!

Check out @Sam_S35  and I's submission if interested. https://t.co/5VmOlTaC9Q https://t.co/qhj3JThPZV",NA,NA,NA,NA
"1253008519919546370","1288259330400235520","2020-07-28 23:45:33","nflfastR","Update: the data repo has been updated with this bug fixed. If you use series success rate, please re-download the data (there are no other changes).

The package will be updated soon https://t.co/1EGpkg0a7I",NA,NA,NA,NA
"1241814552","1288108195030810625","2020-07-28 13:45:00","thomas_mock","A little #RStats {@apachearrow} test since they just had a 1.0 release!

A filtered summary from 328 MILLION observations in about... 100 ms!

All years summarized in about 500 ms!

Code: https://t.co/KfFvApWNgU

Arrow Site: https://t.co/YhpbmT6eYd

#nflscrapR #arrow https://t.co/2mpfhwstih","https://twitter.com/thomas_mock/status/1288108195030810625/photo/1","https://twitter.com/thomas_mock/status/1288108195030810625/photo/1",NA,NA
"1253008519919546370","1287877476274774017","2020-07-27 22:28:12","nflfastR","There appears to be a bug in series success due to the NFL's new data system. If you're doing stuff with series success, we'd recommend using data from 2010 or earlier, using the legacy data, or waiting for an update. Thank you!",NA,NA,NA,NA
"1070035793312387072","1287823689115893760","2020-07-27 18:54:28","nflscrapR","We are excited to announce the finalists in our FOOTBALL ANALYTICS CHALLENGE

Team 1- Andrew Rogan, Robert Bernhardt 
Team 2- Zachary Feldman, Michael Egles, A.J. Reinhard
Team 3- Emmett Kiernan

Thanks to everyone for participating! https://t.co/SAqOf1JZaK",NA,NA,NA,NA
"1253008519919546370","1287781445277233152","2020-07-27 16:06:37","nflfastR","@tommcquillin1 @benbbaldwin Hmm tagging @mrcaseb since he's better with this kind of stuff",NA,NA,NA,NA
"1253008519919546370","1287437740179623938","2020-07-26 17:20:51","nflfastR","@davisj2007 https://t.co/fjvgO8jDB7",NA,NA,NA,NA
